cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
1	S1	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
10	S2	1	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Pyrrolidines	1.0	Phenylpyrrolidines	1.0	Phenylpyrrolidines	1.0	Aromatic heteromonocyclic compounds	1.0
100	S3	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1000	S4	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1001	S5	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1003	41	5	Organic compounds	0.6	Phenylpropanoids and polyketides	0.6	Isoflavonoids	0.6	O-methylated isoflavonoids	0.6	4'-O-methylisoflavones	0.6	Aromatic heteropolycyclic compounds	0.6
1005	41	5	Organic compounds	0.6	Phenylpropanoids and polyketides	0.6	Isoflavonoids	0.6	O-methylated isoflavonoids	0.6	4'-O-methylisoflavones	0.6	Aromatic heteropolycyclic compounds	0.6
1075	41	5	Organic compounds	0.6	Phenylpropanoids and polyketides	0.6	Isoflavonoids	0.6	O-methylated isoflavonoids	0.6	4'-O-methylisoflavones	0.6	Aromatic heteropolycyclic compounds	0.6
3543	41	5	Organic compounds	0.6	Phenylpropanoids and polyketides	0.6	Isoflavonoids	0.6	O-methylated isoflavonoids	0.6	4'-O-methylisoflavones	0.6	Aromatic heteropolycyclic compounds	0.6
3545	41	5	Organic compounds	0.6	Phenylpropanoids and polyketides	0.6	Isoflavonoids	0.6	O-methylated isoflavonoids	0.6	4'-O-methylisoflavones	0.6	Aromatic heteropolycyclic compounds	0.6
1004	S6	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1006	S7	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1008	S8	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1009	S9	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
101	S10	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1010	S11	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1011	34	3	Organic compounds	0.6666666666666666	Lignans, neolignans and related compounds	0.6666666666666666	Furanoid lignans	0.6666666666666666	Tetrahydrofuran lignans	0.6666666666666666	7,7'-epoxylignans	0.6666666666666666	Aromatic heteromonocyclic compounds	0.6666666666666666
1013	34	3	Organic compounds	0.6666666666666666	Lignans, neolignans and related compounds	0.6666666666666666	Furanoid lignans	0.6666666666666666	Tetrahydrofuran lignans	0.6666666666666666	7,7'-epoxylignans	0.6666666666666666	Aromatic heteromonocyclic compounds	0.6666666666666666
4771	34	3	Organic compounds	0.6666666666666666	Lignans, neolignans and related compounds	0.6666666666666666	Furanoid lignans	0.6666666666666666	Tetrahydrofuran lignans	0.6666666666666666	7,7'-epoxylignans	0.6666666666666666	Aromatic heteromonocyclic compounds	0.6666666666666666
1014	S12	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1016	S13	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1017	S14	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1019	S15	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
102	S16	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1021	S17	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1023	S18	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1024	S19	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
