cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
1	S1	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
10	S2	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
100	S3	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1000	S4	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1001	S5	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1002	S6	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1003	S7	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Isoflavonoids	1.0	O-methylated isoflavonoids	1.0	4'-O-methylisoflavones	1.0	Aromatic heteropolycyclic compounds	1.0
1004	S8	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1005	19	2	Organic compounds	0.5	Phenylpropanoids and polyketides	0.5	Isoflavonoids	0.5	O-methylated isoflavonoids	0.5	4'-O-methylisoflavones	0.5	Aromatic heteropolycyclic compounds	0.5
3543	19	2	Organic compounds	0.5	Phenylpropanoids and polyketides	0.5	Isoflavonoids	0.5	O-methylated isoflavonoids	0.5	4'-O-methylisoflavones	0.5	Aromatic heteropolycyclic compounds	0.5
1006	260	4	Organic compounds	0.75	Phenylpropanoids and polyketides	0.75	Flavonoids	0.5	Flavones	0.5	Flavonols	0.5	Aromatic heteropolycyclic compounds	0.75
2006	260	4	Organic compounds	0.75	Phenylpropanoids and polyketides	0.75	Flavonoids	0.5	Flavones	0.5	Flavonols	0.5	Aromatic heteropolycyclic compounds	0.75
876	260	4	Organic compounds	0.75	Phenylpropanoids and polyketides	0.75	Flavonoids	0.5	Flavones	0.5	Flavonols	0.5	Aromatic heteropolycyclic compounds	0.75
879	260	4	Organic compounds	0.75	Phenylpropanoids and polyketides	0.75	Flavonoids	0.5	Flavones	0.5	Flavonols	0.5	Aromatic heteropolycyclic compounds	0.75
1008	S9	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1009	S10	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
101	S11	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1010	S12	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1011	158	5	Organic compounds	1.0	Lignans, neolignans and related compounds	1.0	Furanoid lignans	1.0	Tetrahydrofuran lignans	1.0	7,7'-epoxylignans	1.0	Aromatic heteromonocyclic compounds	1.0
1013	158	5	Organic compounds	1.0	Lignans, neolignans and related compounds	1.0	Furanoid lignans	1.0	Tetrahydrofuran lignans	1.0	7,7'-epoxylignans	1.0	Aromatic heteromonocyclic compounds	1.0
2792	158	5	Organic compounds	1.0	Lignans, neolignans and related compounds	1.0	Furanoid lignans	1.0	Tetrahydrofuran lignans	1.0	7,7'-epoxylignans	1.0	Aromatic heteromonocyclic compounds	1.0
4695	158	5	Organic compounds	1.0	Lignans, neolignans and related compounds	1.0	Furanoid lignans	1.0	Tetrahydrofuran lignans	1.0	7,7'-epoxylignans	1.0	Aromatic heteromonocyclic compounds	1.0
4773	158	5	Organic compounds	1.0	Lignans, neolignans and related compounds	1.0	Furanoid lignans	1.0	Tetrahydrofuran lignans	1.0	7,7'-epoxylignans	1.0	Aromatic heteromonocyclic compounds	1.0
1014	S13	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1016	S14	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1017	S15	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1019	S16	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Flavonoids	1.0	O-methylated flavonoids	1.0	7-O-methylated flavonoids	1.0	Aromatic heteropolycyclic compounds	1.0
