cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
1	S1	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
10	989	3	Organic compounds	0.6666666666666666	Organoheterocyclic compounds	0.6666666666666666	Pyrrolidines	0.6666666666666666	Phenylpyrrolidines	0.6666666666666666	Phenylpyrrolidines	0.6666666666666666	Aromatic heteromonocyclic compounds	0.6666666666666666
251	989	3	Organic compounds	0.6666666666666666	Organoheterocyclic compounds	0.6666666666666666	Pyrrolidines	0.6666666666666666	Phenylpyrrolidines	0.6666666666666666	Phenylpyrrolidines	0.6666666666666666	Aromatic heteromonocyclic compounds	0.6666666666666666
528	989	3	Organic compounds	0.6666666666666666	Organoheterocyclic compounds	0.6666666666666666	Pyrrolidines	0.6666666666666666	Phenylpyrrolidines	0.6666666666666666	Phenylpyrrolidines	0.6666666666666666	Aromatic heteromonocyclic compounds	0.6666666666666666
100	S2	1	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Steroids and steroid derivatives	1.0	Cholestane steroids	1.0	Cholesterols and derivatives	1.0	Aliphatic homopolycyclic compounds	1.0
1000	S3	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1001	S4	1	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Prenol lipids	1.0	Diterpenoids	1.0	Kaurane diterpenoids	1.0	Aliphatic homopolycyclic compounds	1.0
1002	S5	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
1003	25	56	Organic compounds	0.875	Phenylpropanoids and polyketides	0.44642857142857145	Flavonoids	0.19642857142857142	O-methylated flavonoids	0.16071428571428573	Xanthones	0.10714285714285714	Aromatic heteropolycyclic compounds	0.7321428571428571
1005	25	56	Organic compounds	0.875	Phenylpropanoids and polyketides	0.44642857142857145	Flavonoids	0.19642857142857142	O-methylated flavonoids	0.16071428571428573	Xanthones	0.10714285714285714	Aromatic heteropolycyclic compounds	0.7321428571428571
1075	25	56	Organic compounds	0.875	Phenylpropanoids and polyketides	0.44642857142857145	Flavonoids	0.19642857142857142	O-methylated flavonoids	0.16071428571428573	Xanthones	0.10714285714285714	Aromatic heteropolycyclic compounds	0.7321428571428571
1378	25	56	Organic compounds	0.875	Phenylpropanoids and polyketides	0.44642857142857145	Flavonoids	0.19642857142857142	O-methylated flavonoids	0.16071428571428573	Xanthones	0.10714285714285714	Aromatic heteropolycyclic compounds	0.7321428571428571
1531	25	56	Organic compounds	0.875	Phenylpropanoids and polyketides	0.44642857142857145	Flavonoids	0.19642857142857142	O-methylated flavonoids	0.16071428571428573	Xanthones	0.10714285714285714	Aromatic heteropolycyclic compounds	0.7321428571428571
