.id	name	NAME	PRECURSORMZ	charge	PRECURSORTYPE	FORMULA	Ontology	INCHIKEY	SMILES	CCS	IONMODE	INSTRUMENT	Comment	Num Peaks
gnps1	Carmaphycin B	Carmaphycin B	532.30509842717	+1	[M+H]+	C25H45N3O7S	Dipeptides	ODAZGDXFSFEAAA-UHFFFAOYNA-N	CCCCCC(=O)NC(C(C)C)C(=O)NC(CCS(C)(=O)=O)C(=O)NC(CC(C)C)C(=O)C1(C)CO1	251.224316	Positive	qTof	DB#=CCMSLIB00000001577; origin=GNPS	9
gnps10	Rolipram	Rolipram	551.31156353217	+1	[2M+H]+	C16H21NO3	Phenylpyrrolidines	HJORMJIFDVBMOB-UHFFFAOYNA-N	COC1=C(OC2CCCC2)C=C(C=C1)C1CNC(=O)C1	-1	Positive	qTof	DB#=CCMSLIB00000004960; origin=GNPS	11
gnps100	Cholesterol	Cholesterol	369.35157787317	+1	[M+H-H2O]+	C27H46O	Cholesterols and derivatives	HVYWMOMLDIMFJA-UHFFFAOYNA-N	CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	202.0635881	Positive	Q-TOF	DB#=CCMSLIB00000077193; origin=GNPS	61
gnps1000	Eremantholide C	Eremantholide C	347.14891488017	+1	[M+H]+	C19H22O6	Furofurans	YEIAHHGCPUIGOQ-UHFFFAOYNA-N	CC(=C)C1(O)OC2CC3(C)OC(=CC3=O)C(C)=CC3OC(=O)C1(C)C23	186.588711	Positive	qTof	DB#=CCMSLIB00000081275; origin=GNPS	31
gnps1001	Kaurenic acid	Kaurenic acid	303.23185665817	+1	[M+H]+	C20H30O2	Kaurane diterpenoids	NIKHGUQULKYIGE-UHFFFAOYNA-N	[H]C12CC3(CC1=C)CCC1C(C)(CCCC1(C)C(O)=O)C3CC2	177.1389914	Positive	qTof	DB#=CCMSLIB00000081276; origin=GNPS	36
gnps1002	Kaurenic acid	Kaurenic acid	325.213800907	+1	[M+Na]+	C20H30O2	Kaurane diterpenoids	NIKHGUQULKYIGE-UHFFFAOYNA-N	[H]C12CC3(CC1=C)CCC1C(C)(CCCC1(C)C(O)=O)C3CC2	180.6937175	Positive	qTof	DB#=CCMSLIB00000081277; origin=GNPS	2
gnps1003	4'-Methylgenistein (Biochanin A)	4'-Methylgenistein (Biochanin A)	285.07574993817	+1	[M+H]+	C16H12O5	4'-O-methylisoflavones	WUADCCWRTIWANL-UHFFFAOYSA-N	COC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O	165.1162114	Positive	qTof	DB#=CCMSLIB00000081279; origin=GNPS	50
gnps1004	4'-Methylgenistein (Biochanin A)	4'-Methylgenistein (Biochanin A)	307.057694187	+1	[M+Na]+	C16H12O5	4'-O-methylisoflavones	WUADCCWRTIWANL-UHFFFAOYSA-N	COC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O	169.6439146	Positive	qTof	DB#=CCMSLIB00000081280; origin=GNPS	2
gnps1005	Formononetin (Biochanin B)	Formononetin (Biochanin B)	269.08083531817	+1	[M+H]+	C16H12O4	4'-O-methylisoflavones	HKQYGTCOTHHOMP-UHFFFAOYSA-N	COC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O	161.4684237	Positive	qTof	DB#=CCMSLIB00000081282; origin=GNPS	50
gnps1006	Genistein	Genistein	271.06009987417	+1	[M+H]+	C15H10O5	Isoflavones	TZBJGXHYKVUXJN-UHFFFAOYSA-N	OC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O	160.9884787	Positive	qTof	DB#=CCMSLIB00000081284; origin=GNPS	50
