序号,检查点,检查内容,分析人员自检
1,标题是否正确,疾病，方向是否正确，是否有错别字,☑无问题
2,目录,目录序号是否正确，是否匹配分析内容,☑无问题
3,流程图,流程图和分析内容是否匹配,☑无问题
4,数据信息,数据集信息是否完整：疾病，数据集来源，样本信息，测序平台,☑无问题
5,疾病是否有错,,☑无问题
6,全文出现的数字是否正确,,☑无问题
7,图片是否正确,,☑无问题
8,图片是否清晰完整,,☑无问题
9,分析是否符合分析规范,阈值，基因数要求等,☑无问题
10,图注是否匹配,,☑无问题
11,每个分析点是否有结果描述,用什么做的，得到什么结果,☑无问题
12,分析结果是否有对应的文件夹路径,,☑无问题
13,总结不罗列分析点,,☑无问题
14,方案调整说明,有的需要写出来，没有的写“无”,☑无问题
15,软件列表是否合格,要有软件名，版本号，用途，参考文献。软件要和分析匹配,☑无问题
16,参考文献,格式要一致,☑无问题
17,全文格式是否统一,字体，行间距，各级标题，正文首行缩进,☑无问题
18,结果文件是否完整，正确,分析点是否有对应的文件夹，文件夹内的文件是否完整，正确，可打开。图片必须要有pdf，png格式,☑无问题
19,代码,分析代码提供完整、可复现,☑无问题
